Input,Shift,MAPE
20,0,1.6333486000000002
20,1,1.9025894
20,2,2.2978692
20,3,2.7750983
20,4,3.2774181000000002
22,0,1.6384511999999998
22,1,1.9660504
22,2,2.4056365
22,3,2.886462
22,4,3.3705986000000006
24,0,1.6407428
24,1,1.975739
24,2,2.4080865
24,3,2.8638706000000003
24,4,3.3667513999999996
26,0,1.6689657
26,1,1.9804121
26,2,2.4156357999999996
26,3,2.8761810000000003
26,4,3.3538129999999997
28,0,1.6296529
28,1,1.9568071
28,2,2.3934865000000003
28,3,2.8644217999999997
28,4,3.3524373
5,0,1.5753416999999998
5,1,1.8170384999999998
5,2,2.2362266
5,3,2.7288246
5,4,3.2471793
10,0,1.6986748
10,1,2.0178401000000004
10,2,2.5049486
10,3,2.937015
10,4,3.4201667000000002
15,0,1.6507710999999998
15,1,1.9576553
15,2,2.3742572999999996
15,3,2.854877
15,4,3.338117
20,0,1.6540273
20,1,1.8020761000000003
20,2,2.2862932999999996
20,3,2.6937528
20,4,3.3908303
25,0,1.5217254999999998
25,1,1.7512376
25,2,2.1419146000000002
25,3,2.5957572
25,4,3.1448774
30,0,1.5655393999999998
30,1,1.859884
30,2,2.3567061000000002
30,3,2.7691958
30,4,3.3164575
35,0,1.6392165
35,1,1.9272842000000001
35,2,2.3644574
35,3,2.8486824
35,4,3.3122279999999997
40,0,1.5531101
40,1,1.7481759999999997
40,2,2.2304180000000002
40,3,2.6265075
40,4,3.077336
45,0,1.6453967
45,1,1.9540895
45,2,2.3659003
45,3,2.8327882
45,4,3.3062577000000006
